1, 0 7 4
1, 1 0 11
1, 0 7 4
1, 3 10 8
1, 1 0 11
1, 1 0 11
1, 3 10 8
1, 1 0 11
1, 7 5 3
1, 5 2 4
1, 7 5 3
1, 5 2 4
1, 0 4 10
1, 5 2 4
1, 5 2 4
1, 5 2 4
1, 6 3 11
1, 6 3 11
1, 9 10 1
1, 9 10 1
1, 9 10 1
1, 6 3 11
1, 9 10 1
1, 6 2 1
1, 0 7 4
1, 1 0 11
1, 0 7 4
1, 3 10 8
1, 1 0 11
1, 1 0 11
1, 3 10 8
1, 1 0 11
1, 0 7 4
1, 1 0 11
1, 0 7 4
1, 3 10 8
1, 1 0 11
1, 1 0 11
1, 3 10 8
1, 1 0 11
1, 7 5 3
1, 5 2 4
1, 7 5 3
1, 5 2 4
1, 0 4 10
1, 5 2 4
1, 5 2 4
1, 5 2 4
1, 7 5 3
1, 5 2 4
1, 7 5 3
1, 5 2 4
1, 0 4 10
1, 5 2 4
1, 5 2 4
1, 5 2 4
1, 6 3 11
1, 6 3 11
1, 9 10 1
1, 9 10 1
1, 9 10 1
1, 6 3 11
1, 9 10 1
1, 6 2 1
