[ 0.040541, [\pitch, 43.000000, \amp, -10.050438]]
[ 0.067568, [\pitch, 42.000000, \amp, -9.362398]]
[ 0.013514, [\pitch, 42.000000, \amp, -8.215665]]
[ 0.054054, [\pitch, 42.000000, \amp, -7.986319]]
[ 0.027027, [\pitch, -1, \amp, -inf]]
[ 0.027027, [\pitch, 42.000000, \amp, -0.908538]]
[ 0.013514, [\pitch, 42.000000, \amp, -1.528180]]
[ 0.040541, [\pitch, 54.000000, \amp, -1.838000]]
[ 0.067568, [\pitch, 53.000000, \amp, -2.767462]]
[ 0.013514, [\pitch, 48.000000, \amp, -4.316566]]
[ 0.054054, [\pitch, 48.000000, \amp, -4.626386]]
[ 0.027027, [\pitch, -1, \amp, -inf]]
[ 0.027027, [\pitch, 53.000000, \amp, -6.485310]]
[ 0.013514, [\pitch, 53.000000, \amp, -17.032767]]
[ 0.013514, [\pitch, 47.000000, \amp, -17.004079]]
[ 0.054054, [\pitch, 47.000000, \amp, -16.975392]]
[ 0.027027, [\pitch, -1, \amp, -inf]]
[ 0.027027, [\pitch, 46.000000, \amp, -10.912136]]
[ 0.013514, [\pitch, 46.000000, \amp, -4.002397]]
[ 0.081081, [\pitch, 46.000000, \amp, -4.115775]]
[ 0.027027, [\pitch, 45.000000, \amp, -4.796046]]
[ 0.013514, [\pitch, 53.000000, \amp, -5.022803]]
[ 0.054054, [\pitch, 48.000000, \amp, -5.136181]]
[ 0.027027, [\pitch, -1, \amp, -inf]]
[ 0.027027, [\pitch, 48.000000, \amp, -5.816451]]
[ 0.013514, [\pitch, 54.000000, \amp, -6.043208]]
[ 0.013514, [\pitch, 54.000000, \amp, -6.156586]]
[ 0.054054, [\pitch, 54.000000, \amp, -6.269965]]
[ 0.027027, [\pitch, -1, \amp, -inf]]
[ 0.027027, [\pitch, 54.000000, \amp, -6.338927]]
[ 0.013514, [\pitch, 54.000000, \amp, -6.338927]]
