[ 0.002128, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.000587, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.000220, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.001957, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.001394, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.000391, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001957, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001394, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.000391, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001957, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001394, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.000391, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001957, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001394, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.000391, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001957, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001394, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.000391, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001957, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001394, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.000391, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.001957, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.001394, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.000391, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001663, [\pitch, -1, \amp, -inf]]
[ 0.002226, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.000685, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001957, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001394, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.000391, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001321, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.002348, [\pitch, -1, \amp, -inf]]
[ 0.001027, [\pitch, -1, \amp, -inf]]
[ 0.001957, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001394, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.000391, [\pitch, 58.000000, \amp, -5.868864]]
[ 0.000147, [\pitch, 58.000000, \amp, -5.868864]]
[ 0.002348, [\pitch, 58.000000, \amp, -5.868864]]
[ 0.002202, [\pitch, 58.000000, \amp, -5.868864]]
[ 0.001199, [\pitch, 58.000000, \amp, -5.868864]]
[ 0.000978, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.000122, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.002006, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.000049, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.001663, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.000954, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.000685, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.000807, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.000930, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.001908, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.000612, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.001199, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001981, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001150, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001492, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.000171, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.000563, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001614, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.000122, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001884, [\pitch, -1, \amp, -inf]]
[ 0.001688, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.000465, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001101, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.002055, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001248, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001296, [\pitch, 60.000000, \amp, -5.868864]]
[ 0.001590, [\pitch, 60.000000, \amp, -5.868864]]
[ 0.001052, [\pitch, 60.000000, \amp, -5.868864]]
[ 0.001101, [\pitch, 60.000000, \amp, -5.868864]]
[ 0.002055, [\pitch, 60.000000, \amp, -5.868864]]
[ 0.001248, [\pitch, 60.000000, \amp, -5.868864]]
[ 0.001101, [\pitch, 60.000000, \amp, -5.868864]]
[ 0.002055, [\pitch, 60.000000, \amp, -5.868864]]
[ 0.001248, [\pitch, 60.000000, \amp, -5.868864]]
[ 0.001101, [\pitch, 60.000000, \amp, -5.868864]]
[ 0.002055, [\pitch, 60.000000, \amp, -5.868864]]
[ 0.001248, [\pitch, 60.000000, \amp, -5.868864]]
[ 0.001101, [\pitch, 60.000000, \amp, -5.868864]]
[ 0.002055, [\pitch, 60.000000, \amp, -5.868864]]
[ 0.001248, [\pitch, 60.000000, \amp, -5.868864]]
[ 0.001639, [\pitch, 60.000000, \amp, -5.868864]]
[ 0.000318, [\pitch, 58.000000, \amp, -5.868864]]
[ 0.000294, [\pitch, 58.000000, \amp, -5.868864]]
[ 0.000269, [\pitch, 58.000000, \amp, -5.868864]]
[ 0.000098, [\pitch, 58.000000, \amp, -5.868864]]
[ 0.001296, [\pitch, 58.000000, \amp, -5.868864]]
[ 0.001590, [\pitch, 58.000000, \amp, -5.868864]]
[ 0.001052, [\pitch, 58.000000, \amp, -5.868864]]
[ 0.001884, [\pitch, -1, \amp, -inf]]
[ 0.001688, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.000465, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.000269, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.001027, [\pitch, -1, \amp, -inf]]
[ 0.000832, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.001052, [\pitch, -1, \amp, -inf]]
[ 0.000220, [\pitch, -1, \amp, -inf]]
[ 0.001321, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.001981, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.001027, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.001101, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.002055, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001248, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001884, [\pitch, -1, \amp, -inf]]
[ 0.001688, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.000465, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001296, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001884, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001052, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.000538, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.002079, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001810, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.000538, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.002226, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.001810, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.001639, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.001859, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.000709, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001566, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.000538, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.000954, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.000245, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001296, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001884, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001052, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.000538, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.002079, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001810, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001957, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001101, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.000391, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.000538, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.002226, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.001810, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.000538, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.002226, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001810, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001296, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001884, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001052, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.000538, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.002226, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001810, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001639, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001859, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.000709, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.001932, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.001590, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.000416, [\pitch, 59.000000, \amp, -5.868864]]
[ 0.000538, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.002226, [\pitch, 57.000000, \amp, -5.868864]]
[ 0.001810, [\pitch, 57.000000, \amp, -10.297779]]
[ 0.002250, [\pitch, 57.000000, \amp, -10.278567]]
[ 0.001248, [\pitch, 57.000000, \amp, -10.254682]]
[ 0.000098, [\pitch, 57.000000, \amp, -10.241441]]
[ 0.002226, [\pitch, 57.000000, \amp, -10.240403]]
[ 0.000024, [\pitch, 57.000000, \amp, -10.216777]]
[ 0.002299, [\pitch, 57.000000, \amp, -10.216517]]
[ 0.000098, [\pitch, 57.000000, \amp, -10.192113]]
[ 0.002250, [\pitch, 57.000000, \amp, -10.191074]]
[ 0.000318, [\pitch, 57.000000, \amp, -10.167189]]
