[ 0.040541, [\pitch, 56.000000, \amp, -5.868864]]
[ 0.067568, [\pitch, 53.000000, \amp, -5.868864]]
[ 0.013514, [\pitch, 54.000000, \amp, -5.868864]]
[ 0.054054, [\pitch, 53.000000, \amp, -5.868864]]
[ 0.027027, [\pitch, -1, \amp, -inf]]
[ 0.027027, [\pitch, 55.000000, \amp, -10.155120]]
[ 0.013514, [\pitch, 51.000000, \amp, -9.868272]]
[ 0.040541, [\pitch, 62.000000, \amp, -9.724849]]
[ 0.067568, [\pitch, 62.000000, \amp, -9.294577]]
[ 0.013514, [\pitch, 60.000000, \amp, -16.052600]]
[ 0.054054, [\pitch, 63.000000, \amp, -16.052600]]
[ 0.027027, [\pitch, -1, \amp, -inf]]
[ 0.027027, [\pitch, 60.000000, \amp, -1.262694]]
[ 0.013514, [\pitch, 60.000000, \amp, -1.689385]]
[ 0.013514, [\pitch, 55.000000, \amp, -1.902731]]
[ 0.054054, [\pitch, 55.000000, \amp, -2.116077]]
[ 0.027027, [\pitch, -1, \amp, -inf]]
[ 0.027027, [\pitch, 54.000000, \amp, -3.396152]]
[ 0.013514, [\pitch, 54.000000, \amp, -3.822843]]
[ 0.081081, [\pitch, 56.000000, \amp, -4.036189]]
[ 0.027027, [\pitch, 57.000000, \amp, -4.622889]]
[ 0.013514, [\pitch, 61.000000, \amp, -4.622889]]
[ 0.054054, [\pitch, 64.000000, \amp, -4.622889]]
[ 0.027027, [\pitch, -1, \amp, -inf]]
[ 0.027027, [\pitch, 64.000000, \amp, -4.622889]]
[ 0.013514, [\pitch, 63.000000, \amp, -4.622889]]
[ 0.013514, [\pitch, 61.000000, \amp, -4.622889]]
[ 0.054054, [\pitch, 63.000000, \amp, -4.622889]]
[ 0.027027, [\pitch, -1, \amp, -inf]]
[ 0.027027, [\pitch, 63.000000, \amp, -4.622889]]
[ 0.013514, [\pitch, 63.000000, \amp, -4.622889]]
